old_name;new_name
Apl;Apl
Mod;Mod
Sup;Sup
ESTUDIO;evaluacion
ENTREVISTADOR;entrevistador
REGISTRO;registro
FECHAINI;fecha_in
HORAINI;hora_in
FECHAFIN;fecha_out
HORAFIN;hora_out
DURACION;duracion
TELEFONO;telefono
EMAIL;email
ID_CONTACTO;id_contacto
ESTADO;estado
IDIOMA;idioma
IDCOORD;id_coordinates
GPSVAL;gps_validacion
GPSALT;gps_alt
GPSLONG;longitude
GPSLAT;latitude
GPSPRECISION;gps_precision
IDGUID;IDGUID
IDGUIDCONTACTO;IDGUIDCONTACTO
IDGUIDREC;IDGUIDREC
IDAPK;IDAPK
IDBROWSER;IDBROWSER
IDDEVICE;IDDEVICE
IDIP;IDIP
IDMODE;IDMODE
IDMODEL;IDMODEL
IDSCREEN;IDSCREEN
IDSO;IDSO
IDPPI;IDPPI
IDVERBROWSER;IDVERBROWSER
IDVERSO;IDVERSO
IDVERSION;IDVERSION
IDUSUARIO;IDUSUARIO
TIPO_ENCUESTA;tipo_encuesta
FECHA_ACTUAL;fecha_actual
IDEND;idend
VERSION;version
GPSE;gpse
LONG_1;longitude_1
LAT_1;latitude_1
ALTITUD;altitude_1
N_ENCUESTA;nr_encuesta
VERIFICA;verifica
FOTO;foto
CLUSTER;cluster
SECTOR;sector
SECCION;seccion
MANZANA;manzana
DEPARTAMENTO;departamento
MUNICIPIO;municipio
DANE;pcode
PD;urbano_rural
DIRECCION;direccion
BARRIO;barrio
INICIAR;iniciar
EDAD;edad_respondiente
NOMBRE;nombre_respondiente
P3;nacionalidad_jefe_hogar
T4_SINO_1;presencia_65
T4_SINO_2;presencia_0_59_meses
T4_SINO_3;presencia_embarazo
T4_CUANTAS_1;nr_65
T4_CUANTAS_2;nr_0_59_meses
T4_CUANTAS_3;nr_embarazo
P4_TOTAL;total_vulnerable
P5_T1;numero_telefono_1
P5_T2;numero_telefono_2
P6;nr_personas_hogar
P6A;monoparental
P7;sexo_jh
P8;jh_multiples_nombre
P10;jh_multiples_sexo
P11;razon_jefatura_hogar
P11_OTRA;razon_jefatura_hogar_otra
P12;estado_civil_jh
P13;discapacidad_jh
P14;enfermedad_cronica_jh
P15;enfermedad_mental_jh
P16_1_1;ind1_nombre
P16_2_1;ind1_sexo
P16_3;ind1_genero
P16_4N_1;ind1_edad
P16_4M_1;ind1_edad_anos_meses
MAYOR64_1;ind1_mayor65
MENOR5_1;ind1_menor1_5
MENOR17_1;ind1_menor1_17
P16_6_1;ind1_parentesco
P16_7;ind1_pertenencia_etnica
P16_7_OTRA;ind1_pertenencia_etnica_otra
