Indicator Group / Sector;research.question;sub.research.question;repeat.for.variable;independent.variable;independent.variable.type;dependent.variable;dependent.variable.type;hypothesis.type
situacion_socioeconomica;ingresos promedio mensuales por miembro del hogar;COP;departamento;;categorical;so3_cop;numerical;direct_reporting
situacion_socioeconomica;ingresos promedio mensuales por miembro del hogar;USD;departamento;;categorical;so3_usd;numerical;direct_reporting
situacion_socioeconomica;% de hogares que declaran tener una deuda en el momento de la recogida de datos;% de hogares que declaran tener una deuda en el momento de la recogida de datos;departamento;;categorical;so6;numerical;direct_reporting
situacion_socioeconomica;% de hogares pobres (LP-DANE);% de hogares pobres (LP-DANE);departamento;;categorical;so4;numerical;direct_reporting
situacion_socioeconomica;% de hogares en pobreza extrema (LPE-DANE);% de hogares en pobreza extrema (LPE-DANE);departamento;;categorical;so5;numerical;direct_reporting
situacion_socioeconomica;Importe medio de la deuda;Importe medio de la deuda;departamento;;categorical;so7;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Comprar comida;departamento;;categorical;so8_i;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Comprar insumos productivos;departamento;;categorical;so8_ii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Comprar ropa zapatos;departamento;;categorical;so8_iii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Cubrir gastos de salud;departamento;;categorical;so8_iv;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Cubrir servicios basicos como agua y electricidad;departamento;;categorical;so8_v;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Pagar la escuela o gastos de educacion;departamento;;categorical;so8_vi;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Pagar renta o alquiler de la vivienda;departamento;;categorical;so8_vii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Pagar viajes;departamento;;categorical;so8_viii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por motivo de su deuda;Compra de activos;departamento;;categorical;so8_ix;numerical;direct_reporting
situacion_socioeconomica;% de hogares que declaran haber disminuido sus ingresos en los ultimos 12 meses;Aumentaron los ingresos;departamento;;categorical;so9_i;numerical;direct_reporting
situacion_socioeconomica;% de hogares que declaran haber disminuido sus ingresos en los ultimos 12 meses;Disminuyeron los ingresos;departamento;;categorical;so9_ii;numerical;direct_reporting
situacion_socioeconomica;% de hogares que declaran haber disminuido sus ingresos en los ultimos 12 meses;No hubo cambios;departamento;;categorical;so9_iii;numerical;direct_reporting
situacion_socioeconomica;% de hogares que declaran haber disminuido sus ingresos en los ultimos 12 meses;Se perdieron los ingresos por completo;departamento;;categorical;so9_iv;numerical;direct_reporting
situacion_socioeconomica;% de hogares por razon principal por la que disminuyeron o perdieron sus ingresos;Algun miembro del hogar murio;departamento;;categorical;so10_i;numerical;direct_reporting
situacion_socioeconomica;% de hogares por razon principal por la que disminuyeron o perdieron sus ingresos;Algun miembro del hogar perdio su empleo o redujo las horas de trabajo;departamento;;categorical;so10_ii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por razon principal por la que disminuyeron o perdieron sus ingresos;Algun miembro del hogar se enfermo o esta incapacitado;departamento;;categorical;so10_iii;numerical;direct_reporting
situacion_socioeconomica;% de hogares por razon principal por la que disminuyeron o perdieron sus ingresos;Dejo de recibir ayuda de famila o amigos (incluye remesas);departamento;;categorical;so10_iv;numerical;direct_reporting
situacion_socioeconomica;% de hogares por razon principal por la que disminuyeron o perdieron sus ingresos;Dejo de recibir la asistencia del gobierno o de una organización;departamento;;categorical;so10_v;numerical;direct_reporting
