departamento;population;urbano_rural
antioquia;106221;rural
caldas;69197;rural
quindio;38835;rural
risaralda;107017;rural
bogota_dc;29507;rural
archipielago_de_san_andres;5396;rural
atlantico;16763;rural
bolivar;151687;rural
cesar;83207;rural
cordoba;186779;rural
la_guajira;104368;rural
magdalena;85398;rural
sucre;66242;rural
cundinamarca;38054;rural
huila;121918;rural
tolima;69693;rural
boyaca;56520;rural
norte_de_santander;74619;rural
santander;89791;rural
cauca;122587;rural
choco;70234;rural
narino;289413;rural
valle_del_cauca;76789;rural
arauca;52300;rural
caqueta;64761;rural
casanare;48101;rural
meta;101656;rural
putumayo;68588;rural
amazonas;21163;rural
vichada;76648;rural
vaupes;23551;rural
antioquia;2636920;urbano
caldas;511954;urbano
quindio;96794;urbano
risaralda;696185;urbano
bogota_dc;7804660;urbano
archipielago_de_san_andres;3295;urbano
atlantico;1475640;urbano
bolivar;1090123;urbano
cesar;555494;urbano
cordoba;435284;urbano
la_guajira;205223;urbano
magdalena;574866;urbano
sucre;322263;urbano
cundinamarca;926526;urbano
huila;460604;urbano
tolima;551496;urbano
boyaca;363122;urbano
norte_de_santander;905941;urbano
santander;947126;urbano
cauca;281296;urbano
choco;156139;urbano
narino;405715;urbano
valle_del_cauca;2382934;urbano
arauca;166537;urbano
caqueta;198493;urbano
casanare;208686;urbano
meta;614214;urbano
putumayo;61961;urbano
amazonas;40108;urbano
vichada;3336;urbano
vaupes;10756;urbano
